"","V1","V2","V3","V4","V5"
"1","c","s","sw","s","s"
"2","s","sw","sw","sw","s"
"3","s","sw","sw","sw","s"
"4","s","s","s","c","c"
"5","s","sw","s","sw","s"
"6","s","sw","sw","sw","s"
"7","sw","s","sw","sw","sw"
"8","s","s","s","s","s"
"9","s","s","s","s","s"
"10","s","s","s","sw","sw"
"11","sw","s","s","sw","sw"
"12","sw","s","sw","sw","s"
"13","s","s","s","sw","sw"
"14","s","sw","s","s","sw"
"15","s","sw","sw","sw","sw"
"16","sw","s","s","s","s"
"17","sw","sw","s","s","s"
"18","c","c","c","s","s"
"19","sw","sw","s","s","s"
"20","sw","sw","sw","sw","sw"
"21","sw","sw","s","s","sw"
"22","s","sw","sw","sw","s"
"23","s","s","c","s","s"
"24","s","c","s","s","sw"
"25","sw","sw","sw","sw","s"
"26","s","s","s","sw","s"
"27","sw","s","sw","sw","s"
"28","sw","s","c","s","s"
"29","s","s","s","sw","sw"
"30","sw","sw","sw","s","sw"
"31","sw","sw","sw","sw","sw"
"32","sw","sw","sw","sw","sw"
"33","sw","s","s","s","s"
"34","sw","sw","sw","sw","s"
"35","s","sw","s","sw","s"
"36","s","s","sw","sw","s"
"37","s","sw","sw","sw","sw"
"38","sw","sw","s","sw","sw"
"39","sw","s","sw","s","s"
"40","s","sw","sw","sw","sw"
"41","s","sw","sw","sw","s"
"42","s","s","s","s","s"
"43","s","s","sw","sw","s"
"44","s","s","sw","s","s"
"45","c","s","sw","sw","sw"
"46","sw","sw","s","c","s"
"47","s","s","s","s","s"
"48","s","sw","sw","s","s"
"49","sw","sw","s","s","sw"
"50","sw","s","c","s","s"
"51","s","sw","sw","sw","s"
"52","s","s","s","sw","s"
"53","sw","s","c","s","sw"
"54","sw","sw","sw","sw","s"
"55","s","s","s","sw","s"
"56","c","s","s","sw","s"
"57","s","s","s","s","s"
"58","s","s","s","sw","sw"
"59","sw","sw","s","sw","s"
"60","c","s","s","sw","s"
"61","s","sw","s","sw","sw"
"62","sw","sw","sw","sw","sw"
"63","sw","s","s","s","sw"
"64","s","s","s","sw","s"
"65","s","s","sw","sw","sw"
"66","s","s","s","c","s"
"67","s","sw","s","s","s"
"68","sw","s","sw","s","s"
"69","s","s","s","s","s"
"70","c","s","s","sw","sw"
"71","s","s","s","sw","s"
"72","sw","sw","sw","s","s"
"73","s","sw","sw","sw","s"
"74","s","s","s","s","s"
"75","s","sw","sw","sw","s"
"76","sw","sw","sw","s","sw"
"77","s","s","sw","sw","s"
"78","s","s","s","s","c"
"79","s","sw","s","s","s"
"80","s","s","s","c","c"
"81","s","sw","sw","sw","sw"
"82","s","s","s","sw","sw"
"83","s","s","s","s","s"
"84","c","s","s","s","s"
"85","sw","sw","sw","s","sw"
"86","sw","sw","sw","s","c"
"87","s","s","c","s","sw"
"88","sw","sw","sw","sw","sw"
"89","sw","s","s","sw","s"
"90","sw","sw","sw","s","s"
"91","s","s","s","s","sw"
"92","s","sw","sw","sw","s"
"93","s","s","s","sw","sw"
"94","sw","s","s","sw","sw"
"95","s","s","sw","s","s"
"96","sw","sw","sw","s","s"
"97","sw","sw","s","c","s"
"98","s","sw","sw","s","c"
"99","s","s","sw","sw","s"
"100","s","s","sw","s","s"
"101","s","s","s","s","s"
"102","s","s","c","s","s"
"103","s","sw","sw","s","s"
"104","s","sw","sw","s","s"
"105","s","s","s","s","sw"
"106","s","s","c","s","c"
"107","s","s","sw","sw","s"
"108","s","sw","sw","sw","s"
"109","s","sw","sw","s","c"
"110","s","sw","s","s","s"
"111","s","sw","s","s","sw"
"112","s","s","s","s","s"
"113","c","c","s","sw","s"
"114","s","sw","sw","s","sw"
"115","s","sw","sw","s","sw"
"116","sw","sw","sw","sw","s"
"117","sw","s","s","sw","sw"
"118","sw","s","c","s","s"
"119","s","c","s","s","sw"
"120","sw","sw","s","s","s"
"121","sw","sw","sw","sw","s"
"122","s","sw","sw","sw","s"
"123","s","s","c","s","sw"
"124","s","sw","s","s","sw"
"125","s","sw","sw","sw","sw"
"126","sw","s","s","s","sw"
"127","s","s","sw","sw","sw"
