Día,Hora,Tipo_Franja,Tipo_Vehículo,Energía_kWh,Potencia_kW
1,0,Valle (Noche),2. DC Estándar,25.47,50.0
1,0,Valle (Noche),1. AC/PHEV,12.5,11.0
1,0,Valle (Noche),2. DC Estándar,17.5,50.0
1,0,Valle (Noche),1. AC/PHEV,8.95,11.0
1,0,Valle (Noche),3. HPC 150,41.03,84.78
1,0,Valle (Noche),3. HPC 150,58.74,128.05
1,0,Valle (Noche),2. DC Estándar,20.75,50.0
1,0,Valle (Noche),2. DC Estándar,20.16,50.0
1,0,Valle (Noche),1. AC/PHEV,15.91,11.0
1,0,Valle (Noche),3. HPC 150,56.29,99.14
1,0,Valle (Noche),3. HPC 150,35.2,117.01
1,1,Valle (Noche),3. HPC 150,41.82,83.22
1,1,Valle (Noche),2. DC Estándar,30.72,50.0
1,1,Valle (Noche),3. HPC 150,53.27,124.62
1,1,Valle (Noche),3. HPC 150,50.11,124.77
1,1,Valle (Noche),2. DC Estándar,17.84,50.0
1,1,Valle (Noche),2. DC Estándar,27.95,50.0
1,1,Valle (Noche),2. DC Estándar,23.04,50.0
1,2,Valle (Noche),4. HPC 350,85.21,192.48
1,2,Valle (Noche),3. HPC 150,51.49,107.96
1,2,Valle (Noche),2. DC Estándar,29.53,50.0
1,2,Valle (Noche),4. HPC 350,62.46,210.88
1,2,Valle (Noche),2. DC Estándar,30.99,50.0
1,2,Valle (Noche),2. DC Estándar,25.09,50.0
1,2,Valle (Noche),3. HPC 150,60.16,101.05
1,3,Valle (Noche),3. HPC 150,38.16,94.43
1,3,Valle (Noche),3. HPC 150,65.97,121.56
1,3,Valle (Noche),3. HPC 150,37.1,95.97
1,3,Valle (Noche),2. DC Estándar,27.48,50.0
1,3,Valle (Noche),2. DC Estándar,21.01,50.0
1,3,Valle (Noche),3. HPC 150,52.49,114.74
1,3,Valle (Noche),2. DC Estándar,29.98,50.0
1,3,Valle (Noche),3. HPC 150,51.25,123.55
1,3,Valle (Noche),2. DC Estándar,18.54,50.0
1,3,Valle (Noche),1. AC/PHEV,7.03,11.0
1,3,Valle (Noche),2. DC Estándar,27.96,50.0
1,3,Valle (Noche),3. HPC 150,73.61,87.0
1,4,Valle (Noche),4. HPC 350,82.8,191.44
1,4,Valle (Noche),1. AC/PHEV,15.84,11.0
1,4,Valle (Noche),4. HPC 350,63.77,209.41
1,4,Valle (Noche),3. HPC 150,42.95,96.88
1,4,Valle (Noche),2. DC Estándar,16.84,50.0
1,4,Valle (Noche),2. DC Estándar,24.82,50.0
1,4,Valle (Noche),2. DC Estándar,18.57,50.0
1,4,Valle (Noche),2. DC Estándar,25.46,50.0
1,4,Valle (Noche),3. HPC 150,36.0,88.74
1,5,Valle (Noche),3. HPC 150,50.6,102.99
1,5,Valle (Noche),3. HPC 150,40.43,100.58
1,5,Valle (Noche),3. HPC 150,65.82,116.1
1,5,Valle (Noche),4. HPC 350,72.94,223.63
1,5,Valle (Noche),2. DC Estándar,13.91,50.0
1,5,Valle (Noche),2. DC Estándar,25.18,50.0
1,5,Valle (Noche),3. HPC 150,54.12,123.33
1,5,Valle (Noche),2. DC Estándar,22.21,50.0
1,5,Valle (Noche),2. DC Estándar,28.46,50.0
1,5,Valle (Noche),3. HPC 150,49.48,114.71
1,5,Valle (Noche),2. DC Estándar,28.59,50.0
1,5,Valle (Noche),3. HPC 150,65.34,123.8
1,5,Valle (Noche),2. DC Estándar,30.54,50.0
1,5,Valle (Noche),1. AC/PHEV,7.23,11.0
1,5,Valle (Noche),2. DC Estándar,20.63,50.0
1,6,Valle (Noche),2. DC Estándar,29.34,50.0
1,6,Valle (Noche),1. AC/PHEV,1.43,11.0
1,6,Valle (Noche),3. HPC 150,21.08,126.15
1,6,Valle (Noche),2. DC Estándar,30.42,50.0
1,6,Valle (Noche),3. HPC 150,34.45,129.82
1,6,Valle (Noche),2. DC Estándar,27.15,50.0
1,6,Valle (Noche),1. AC/PHEV,13.0,11.0
1,6,Valle (Noche),3. HPC 150,41.15,117.52
1,6,Valle (Noche),3. HPC 150,48.6,120.19
1,6,Valle (Noche),3. HPC 150,40.4,123.24
1,6,Valle (Noche),1. AC/PHEV,7.94,11.0
1,6,Valle (Noche),3. HPC 150,56.56,126.69
1,7,Llano (Mañana),3. HPC 150,40.82,92.86
1,7,Llano (Mañana),2. DC Estándar,18.38,50.0
1,7,Llano (Mañana),3. HPC 150,33.17,91.02
1,7,Llano (Mañana),2. DC Estándar,21.75,50.0
1,7,Llano (Mañana),2. DC Estándar,34.35,50.0
1,7,Llano (Mañana),3. HPC 150,48.34,94.52
1,7,Llano (Mañana),3. HPC 150,56.43,94.01
1,7,Llano (Mañana),2. DC Estándar,21.14,50.0
1,7,Llano (Mañana),2. DC Estándar,26.6,50.0
1,7,Llano (Mañana),2. DC Estándar,22.47,50.0
1,7,Llano (Mañana),3. HPC 150,41.44,94.57
1,7,Llano (Mañana),3. HPC 150,39.99,98.93
1,7,Llano (Mañana),4. HPC 350,57.19,215.82
1,7,Llano (Mañana),3. HPC 150,56.99,86.78
